id_hex wheel_hex sector pfeb tds_channel pad_channel x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 wheel id layer quad
0x7f68011000000000 0xA 4 0 99 4 -191.207 2217.0 7453.87 -388.312 2216.96 7453.8 -193.689 2245.31 7453.92 -393.308 2245.27 7453.84 10 9180589008625860608 0 0
0x7f6801a000000000 0xA 4 0 100 3 2.90322 2217.03 7453.94 -191.207 2217.0 7453.87 2.89832 2245.34 7453.99 -193.689 2245.31 7453.92 10 9180589627101151232 0 0
0x7f68023000000000 0xA 4 0 101 2 197.013 2217.07 7454.02 2.90322 2217.03 7453.94 199.485 2245.38 7454.06 2.89832 2245.34 7453.99 10 9180590245576441856 0 0
0x7f6802c000000000 0xA 4 0 102 1 394.118 2217.1 7454.09 197.013 2217.07 7454.02 399.105 2245.41 7454.14 199.485 2245.38 7454.06 10 9180590864051732480 0 0
0x7f68035000000000 0xA 4 0 103 0 557.175 2217.13 7454.15 394.118 2217.1 7454.09 564.228 2245.44 7454.2 399.105 2245.41 7454.14 10 9180591482527023104 0 0
0x7f88000000000000 0xA 4 8 38 55 -297.542 2280.57 7454.04 -571.171 2280.54 7454.02 -310.654 2380.08 7454.13 -595.993 2380.05 7454.1 10 9189595039649497088 0 1
0x7f88009000000000 0xA 4 8 39 54 2.88851 2280.6 7454.07 -297.542 2280.57 7454.04 2.87776 2380.11 7454.15 -310.654 2380.08 7454.13 10 9189595658124787712 0 1
0x7f88012000000000 0xA 4 8 40 53 303.32 2280.63 7454.09 2.88851 2280.6 7454.07 316.409 2380.15 7454.18 2.87776 2380.11 7454.15 10 9189596276600078336 0 1
0x7f8801b000000000 0xA 4 8 41 52 572.949 2280.66 7454.11 303.32 2280.63 7454.09 597.748 2380.18 7454.2 316.409 2380.15 7454.18 10 9189596895075368960 0 1
0x7f88000800000000 0xA 4 8 42 51 -310.654 2380.08 7454.13 -595.993 2380.05 7454.1 -321.382 2461.5 7454.2 -616.301 2461.46 7454.17 10 9189595074009235456 0 1
0x7f88009800000000 0xA 4 8 43 50 2.87776 2380.11 7454.15 -310.654 2380.08 7454.13 2.86897 2461.53 7454.22 -321.382 2461.5 7454.2 10 9189595692484526080 0 1
0x7f88012800000000 0xA 4 8 44 49 316.409 2380.15 7454.18 2.87776 2380.11 7454.15 327.12 2461.57 7454.25 2.86897 2461.53 7454.22 10 9189596310959816704 0 1
0x7f8801b800000000 0xA 4 8 45 48 597.748 2380.18 7454.2 316.409 2380.15 7454.18 618.039 2461.6 7454.27 327.12 2461.57 7454.25 10 9189596929435107328 0 1
0x7f88001000000000 0xA 4 8 46 47 -321.382 2461.5 7454.2 -616.301 2461.46 7454.17 -332.11 2542.92 7454.26 -636.61 2542.88 7454.24 10 9189595108368973824 0 1
0x7f8800a000000000 0xA 4 8 47 46 2.86897 2461.53 7454.22 -321.382 2461.5 7454.2 2.86017 2542.95 7454.29 -332.11 2542.92 7454.26 10 9189595726844264448 0 1
0x7f88013000000000 0xA 4 8 48 45 327.12 2461.57 7454.25 2.86897 2461.53 7454.22 337.83 2542.99 7454.32 2.86017 2542.95 7454.29 10 9189596345319555072 0 1
